"","season","player.name","player.position","player.age","player.nationality","from.name","from.country","from.league","to.name","to.country","to.league","transfer.value"
"23","2019/2020","Ayrton","Second Striker","23","Brazil","","","","Trindade-GO","Brazil","","-"
"24","2019/2020","Vlad Slivca","Right-Back","20","Moldova","FC Petrocub","Moldova","Divizia Nationala","","","","-"
"25","2019/2020","Atakan Gündüz","Centre-Back","18","Turkey","Trabzonspor","Turkey","Süper Lig","Trabzonspor U19","Turkey","Türkiye Ligi U19 Elit A","-"
"26","2019/2020","Punch Masanamela","Left-Back","32","South Africa","Baberwa FC","South Africa","","Mbabane Highlanders","Eswatini","","?"
"27","2019/2020","Cas Peters","Centre-Forward","26","Netherlands","FC Volendam","Netherlands","Keuken Kampioen Divisie","TOP Oss","Netherlands","Keuken Kampioen Divisie","?"
"28","2019/2020","Alex Redolfi","Centre-Back","25","Italy","Reggina","Italy","Serie C - C","Vibonese","Italy","Serie C - C","?"
"29","2019/2020","Hosam Aiesh","Right Winger","24","Sweden","Östersund","Sweden","Allsvenskan","IFK Göteborg","Sweden","Allsvenskan","?"
"30","2019/2020","Jesper Manns","Right-Back","24","Sweden","Elfsborg","Sweden","Allsvenskan","Kalmar FF","Sweden","Allsvenskan","?"
"31","2019/2020","Mario Pugliese","Right-Back","23","Italy","Atalanta","Italy","Serie A","Vibonese","Italy","Serie C - C","?"
"32","2019/2020","Chedli Ghrab","Right Winger","26","Tunisia","Jendouba Sport","Tunisia","","Stade Gabèsien","Tunisia","","?"
"33","2019/2020","James Brincat","Left Winger","22","Malta","Birkirkara FC","Malta","Premier League","Gudja United FC","Malta","Premier League","?"
"34","2019/2020","Tobias Christensen","Central Midfield","19","Norway","Start","Norway","OBOS-ligaen","Molde FK","Norway","Eliteserien","?"
"35","2019/2020","Amir Mahrous","Left-Back","21","Italy","Genoa","Italy","Serie A","Vibonese","Italy","Serie C - C","?"
"36","2019/2020","Linda Bhengu","Centre-Forward","23","South Africa","FS Stars","South Africa","","Mbombela United","South Africa","","?"
"37","2019/2020","Andrea Rizzo Pinna","Central Midfield","19","Italy","Atalanta U19","Italy","Primavera 1","Palermo","Italy","Serie D - I","?"
"38","2019/2020","Luca Pandolfi","Second Striker","21","Italy","Virtus Entella","Italy","Serie B","Alessandria","Italy","Serie C - A","?"
"39","2019/2020","Douglas","Attacking Midfield","25","Brazil","Cabofriense","Brazil","","Al-Nojoom FC","Saudi Arabia","","?"
"40","2019/2020","Furkan Ulus","Right Winger","21","Turkey","Payasspor","Turkey","3.Lig Grup 2","Adivar SK","Turkey","3.Lig Grup 3","?"
"41","2019/2020","Gianfranco Ferrero","Defensive Midfield","24","Argentina","","","","Oliveirense","Portugal","Liga Pro","?"
"42","2019/2020","Kacper Rybacki","Midfielder","19","Poland","Olimpia Grudz.","Poland","1 Liga","Legia Chelmza","Poland","","?"
"43","2019/2020","Raúl Rodríguez","Centre-Back","31","Spain","","","","Al-Arabi SC","Kuwait","","-"
"44","2019/2020","Evgeni Skoblikov","Attacking Midfield","29","Russia","","","","Belshina","Belarus","","-"
"45","2019/2020","Naoyuki Yamazaki","Central Midfield","28","Japan","PEPO Lappeenranta","Finland","Kakkonen - Group A","","","","-"
"46","2019/2020","Osarimen Ebagua","Centre-Forward","33","Nigeria","","","","Bisceglie","Italy","Serie C - C","-"
"47","2019/2020","Oguzhan Kolak","Centre-Back","22","Turkey","","","","Kemerspor 2003","Turkey","3.Lig Grup 2","-"
"48","2019/2020","Naïm Sliti","Left Winger","27","Tunisia","Dijon","France","Ligue 1","Al-Ettifaq","Saudi Arabia","Professional League","£4.50m"
"49","2019/2020","Erwin Imsirovic","Central Midfield","22","Austria","Grazer AK 1902","Austria","2. Liga","Grambach","Austria","","?"
"50","2019/2020","Lukian","Centre-Forward","27","Brazil","Chonburi FC","Thailand","Thai League","Júbilo Iwata","Japan","J1 League","?"
"51","2019/2020","Mohamed Lamine Amrani","Left Winger","28","Algeria","","","","NC Magra","Algeria","Ligue Professionnelle 1","?"
"52","2019/2020","Faycal Hadji","Centre-Forward","25","Algeria","ASM Oran","Algeria","","DRB Tadjenanet","Algeria","","?"
"53","2019/2020","Turki Sufyani","Centre-Forward","27","Saudi Arabia","Al-Washm","Saudi Arabia","","Al Qadisiyah","Saudi Arabia","","?"
"54","2019/2020","Ladislav Hirjak","Midfielder","23","Slovakia","Lok. Kosice","Slovakia","","Slavoj Trebisov","Slovakia","II. Liga","?"
"55","2019/2020","Amir Velic","Centre-Back","20","Bosnia-Herzegovina","NK Visoko","Bosnia-Herzegovina","","","","","?"
"56","2019/2020","Mirko Bortoletti","Central Midfield","20","Italy","Fidelis Andria","Italy","Serie D - H","Pistoiese","Italy","Serie C - A","?"
"57","2019/2020","Toufik Elghoumari","Centre-Forward","26","Algeria","USM Annaba","Algeria","","O Médéa","Algeria","","?"
"58","2019/2020","Niccolò Gucci","Centre-Forward","29","Italy","Pro Patria","Italy","Serie C - A","Pistoiese","Italy","Serie C - A","?"
"59","2019/2020","Giorgio Spizzichino","Right-Back","19","Italy","Lazio","Italy","Serie A","Pro Patria","Italy","Serie C - A","?"
"60","2019/2020","Damiano Lia","Right-Back","21","Italy","Cavese","Italy","Serie C - C","Juve Stabia","Italy","Serie B","?"
"61","2019/2020","Osmo Nuhanovic","Centre-Forward","24","Bosnia-Herzegovina","TOSK Tesanj","Bosnia-Herzegovina","Prva liga FBIH","","","","?"
"62","2019/2020","Fatih Cerlek","Defensive Midfield","22","Turkey","Pendikspor ","Turkey","2.Lig Beyaz","Menemen Spor","Turkey","1.Lig","?"
"63","2019/2020","Gaëtan Missi Mezu","Centre-Forward","23","Gabon","Arsenal Kyiv","Ukraine","","FC Schaffhausen","Switzerland","Challenge League","?"
"64","2019/2020","Juan Viacava","Midfielder","20","Uruguay","","","","Rampla Jrs","Uruguay","Torneo Intermedio","?"
"65","2019/2020","Abdellah Debbari","Right-Back","26","Algeria","MO Béjaïa","Algeria","","ES Sétif","Algeria","Ligue Professionnelle 1","?"
"66","2019/2020","Simone Isacco","Defensive Midfield","19","Italy","Atalanta U19","Italy","Primavera 1","Fermana","Italy","Serie C - B","?"
"67","2019/2020","Jozef Sombat","Forward","25","Slovakia","FC Petrzalka","Slovakia","II. Liga","Kittsee","Austria","","?"
"68","2019/2020","Hyeong-min Park","Goalkeeper","25","Korea, South","","","","Siheung City FC","Korea, South","","?"
"69","2019/2020","Wai-Tsun Dai","Central Midfield","19","Hongkong","Oxford United","England","League One","Wolves U23","England","","?"
"70","2019/2020","Adonis Bilal","Central Midfield","19","Bosnia-Herzegovina","Zeljeznicar BL","Bosnia-Herzegovina","Prva Liga RS","","","","?"
"71","2019/2020","Matheus Leal","Left-Back","24","Brazil","Benfica B","Portugal","Liga Pro","Leixões","Portugal","Liga Pro","?"
"72","2019/2020","Alexander Romario Jesuraj","Right Winger","22","India","Chennai City","India","I-League","FC Goa","India","Indian Super League","?"
"73","2019/2020","Nudzeim Imamovic","Forward","21","Bosnia-Herzegovina","FK Gorazde","Bosnia-Herzegovina","Prva liga FBIH","","","","?"
"74","2019/2020","Tolga Zengin","Goalkeeper","35","Turkey","Besiktas","Turkey","Süper Lig","","","","-"
"75","2019/2020","Massimo Loviso","Defensive Midfield","35","Italy","Modena","Italy","Serie C - B","","","","-"
"76","2019/2020","Pawel Kapsa","Goalkeeper","36","Poland","Sandecja","Poland","1 Liga","","","","-"
"77","2019/2020","Marvin Matip","Centre-Back","33","Cameroon","FC Ingolstadt","Germany","3. Liga","","","","-"
"78","2019/2020","Ibrahim Akin","Right Winger","35","Turkey","Altay SK","Turkey","1.Lig","","","","-"
"79","2019/2020","Freddy Mombongo-Dues","Centre-Forward","33","DR Congo","Patro Eisden","Belgium","Eerste Amateur","","","","-"
"80","2019/2020","Sulley Muntari","Central Midfield","34","Ghana","Albacete","Spain","LaLiga2","","","","-"
"81","2019/2020","Raffaele De Martino","Defensive Midfield","33","Italy","Latina Calcio","Italy","Serie D - G","","","","-"
"82","2019/2020","Carlitos","Left Midfield","36","Portugal","FC Sion","Switzerland","Super League","","","","-"
"83","2019/2020","Mathieu Flamini","Defensive Midfield","35","France","Getafe","Spain","LaLiga","","","","-"
"84","2019/2020","Sébastien Roudet","Attacking Midfield","38","France","Valenciennes FC","France","Ligue 2","","","","-"
"85","2019/2020","Michael Krohn-Dehli","Central Midfield","36","Denmark","Dep. La Coruña","Spain","LaLiga2","","","","-"
"86","2019/2020","Julien Faubert","Defensive Midfield","35","Martinique","","","","Fréjus-St-Raph.","France","","-"
"87","2019/2020","Norbert Mészáros","Centre-Back","38","Hungary","Debrecen","Hungary","NB I.","Debrecen II","Hungary","","-"
"88","2019/2020","Bilal Aziz Özer","Left-Back","34","Germany","Karagümrük","Turkey","1.Lig","","","","-"
"89","2019/2020","Franck Dja Djédjé","Right Winger","33","Cote d'Ivoire","","","","Cannes","France","","-"
"90","2019/2020","Hatem Ben Arfa","Attacking Midfield","32","France","Stade Rennais","France","Ligue 1","","","","-"
"91","2019/2020","Rodrigo Defendi","Centre-Back","33","Brazil","Desportivo Aves","Portugal","Liga NOS","","","","-"
"92","2019/2020","Landry Bonnefoi","Goalkeeper","35","France","F91 Dudelange","Luxembourg","BGL Ligue","","","","-"
"93","2019/2020","Dennis Aogo","Defensive Midfield","32","Germany","VfB Stuttgart","Germany","2. Bundesliga","","","","-"
"94","2019/2020","Riccardo Montolivo","Defensive Midfield","34","Italy","AC Milan","Italy","Serie A","","","","-"
"95","2019/2020","Panagiotis Kone","Central Midfield","31","Greece","","","","Western United","Australia","A-League","-"
"96","2019/2020","Daniel Pavlovic","Left-Back","31","Bosnia-Herzegovina","Perugia","Italy","Serie B","","","","-"
"97","2019/2020","Dusan Basta","Right-Back","34","Serbia","Lazio","Italy","Serie A","","","","-"
"98","2019/2020","Pablo Ledesma","Central Midfield","35","Argentina","CA Patronato","Argentina","Superliga","","","","-"
"99","2019/2020","Leon Martincevic","Right-Back","19","Croatia","Drava Ptuj","Slovenia","Druga Liga","NK Primorac Biograd","Croatia","","?"
"100","2019/2020","Karim Giraev","Centre-Forward","22","Russia","Biolog","Russia","PFL South","Makhachkala","Russia","PFL South","?"
"101","2019/2020","Teo Brkic","Forward","19","Croatia","Juniors OÖ","Austria","2. Liga","Hrv Dragovoljac","Croatia","2.HNL","?"
"102","2019/2020","Dino Radetic","Midfielder","21","Croatia","NK Ankaran","Slovenia","","NK Uljanik","Croatia","","?"
"103","2019/2020","Vasiliy Yatskov","Centre-Forward","17","Russia","Almaz-Antei ","Russia","","Orenburg II","Russia","U20 Premier Liga","?"
"104","2019/2020","Anthony Uzodimma","Defensive Midfield","20","Nigeria","","","","Kayserispor","Turkey","Süper Lig","?"
"105","2019/2020","Malick Mané","Centre-Forward","30","Senegal","Atyrau","Kazakhstan","Premier Liga","","","","-"
"106","2019/2020","Aras Özbiliz","Right Winger","29","Armenia","Besiktas","Turkey","Süper Lig","","","","-"
"107","2019/2020","Ondrej Vanek","Central Midfield","29","Czech Republic","Ufa","Russia","Premier Liga","","","","-"
"108","2019/2020","Marino Bifulco","Goalkeeper","37","Italy","","","","Giulianova","Italy","Serie D - F","-"
"109","2019/2020","Sercan Türkeri","Right-Back","30","Turkey","","","","Eyüpspor","Turkey","2.Lig Kirmizi","-"
"110","2019/2020","Artur Gevorkyan","Right Winger","34","Turkmenistan","Persib Bandung","Indonesia","Liga 1","","","","-"
"111","2019/2020","Alfred Zefi","Defensive Midfield","27","Albania","FK Bylis Ballsh","Albania","Kategoria Superiore","KS Besa Kavajë","Albania","","-"
"112","2019/2020","Drissa Traoré","Central Midfield","27","France","","","","Beauvais","France","","-"
"113","2019/2020","Jonathan Zongo","Right Winger","30","Burkina Faso","","","","CF Badalona","Spain","2ª B - Grupo III","-"
"114","2019/2020","Wendell","Goalkeeper","26","Brazil","Mirassol-SP","Brazil","","","","","-"
"115","2019/2020","Kenny van der Weg","Left-Back","28","Netherlands","Ross County","Scotland","Premiership","","","","-"
"116","2019/2020","Mehdi Khallati","Centre-Back","27","Morocco","","","","Ittihad Tanger","Morocco","Botola Pro","-"
"117","2019/2020","Jerry Ortíz","Attacking Midfield","26","Colombia","","","","Tauro FC","Panama","","-"
"118","2019/2020","Tolgahan Cicek","Left-Back","24","Turkey","","","","Nevsehir Bld","Turkey","3.Lig Grup 3","-"
"119","2019/2020","Pimentinha","Left Winger","31","Brazil","Botafogo FC","Brazil","Série B","","","","-"
"120","2019/2020","Joni Rahila","Goalkeeper","21","Finland","","","","Salon Pallo","Finland","Kakkonen - Group B","-"
"121","2019/2020","Fabio Sa","Right-Back","24","Brazil","Mirassol-SP","Brazil","","","","","-"
"122","2019/2020","João Favaro","Centre-Back","27","Brazil","","","","FK Senica","Slovakia","Fortuna Liga","-"
"123","2019/2020","Pierre","Centre-Back","23","Brazil","","","","AD Itaboraí-RJ","Brazil","","-"
"124","2019/2020","Jovan Kokir","Left Winger","19","Serbia","Partizan","Serbia","Linglong Tire Super liga Srbije","Vojvodina","Serbia","Linglong Tire Super liga Srbije","?"
"125","2019/2020","Anton Stanic","Midfielder","18","Austria","Rohrbach/Lafn.","Austria","","Lafnitz II","Austria","LL Steiermark","?"
"126","2019/2020","Emiliano Purita","Right-Back","22","Argentina","San Lorenzo II","Argentina","","","","","?"
"127","2019/2020","Tim Golob","Defensive Midfield","22","Slovenia","Beltinci","Slovenia","Druga Liga","","","","?"
"128","2019/2020","Nicolás Herranz","Centre-Back","25","Argentina","Vardar","North Macedonia","","San Martín","Argentina","Primera Nacional","?"
"129","2019/2020","Zakaria Saidi","Goalkeeper","22","Algeria","O Médéa","Algeria","","JS Saoura","Algeria","Ligue Professionnelle 1","?"
"130","2019/2020","Slavi Petrov","Goalkeeper","20","Bulgaria","CSKA Sofia","Bulgaria","Parva Liga","Strumska Slava","Bulgaria","","?"
"131","2019/2020","Matej Fabini","Goalkeeper","21","Slovakia","Lok. Kosice","Slovakia","","FC Kosice","Slovakia","II. Liga","?"
"132","2019/2020","José Palacios","Left Winger","22","Colombia","Cortuluá","Colombia","Torneo Águila","Indep. Santa Fe","Colombia","Liga Águila II","?"
"133","2019/2020","Nikita Gvineyskiy","Defensive Midfield","20","Russia","Tom Tomsk","Russia","1.Division","Sokol Saratov","Russia","PFL Central","?"
"134","2019/2020","Matej Vaculik","Defender","22","Slovakia","Trenc. Teplice","Slovakia","","Dubnica","Slovakia","II. Liga","?"
"135","2019/2020","Musah Nuhu","Centre-Back","22","Ghana","WAFA SC","Ghana","","FC St. Gallen","Switzerland","Super League","?"
"136","2019/2020","Milad Pourmohsen","Left-Back","27","Iran","Damash Gilan","Iran","","Mes Kerman","Iran","Azadegan League","?"
"137","2019/2020","Abdullah Al-Yousef","Right-Back","","Saudi Arabia","Hajer","Saudi Arabia","","Al-Adalh FC","Saudi Arabia","Professional League","?"
"138","2019/2020","Yeferson Paz","Left Midfield","28","Venezuela","FC Alianza","Panama","","Plaza Amador","Panama","","?"
"139","2019/2020","Valdrin Azemi","Defensive Midfield","20","Kosovo","NK Ankaran","Slovenia","","","","","?"
"140","2019/2020","Pablo Meza","Centre-Back","22","Paraguay","Deportes Tolima","Colombia","Liga Águila II","General Diaz","Paraguay","","?"
"141","2019/2020","Jae-gun Lee","Right Winger","22","Korea, South","AFC Tubize","Belgium","Eerste Amateur","Asan Mugunghwa","Korea, South","K League 2","?"
"142","2019/2020","Guillaume Bosca","Forward","29","France","Marignane G. FC","France","","Dunkerque","France","Championnat National","?"
"143","2019/2020","Mohammed Waed Abdulwahhab","Attacking Midfield","19","Qatar","Al Ahli","Qatar","Stars League","Al-Wakrah","Qatar","Stars League","?"
"144","2019/2020","Radovan Avram","Attacking Midfield","20","Serbia","Vozdovac","Serbia","Linglong Tire Super liga Srbije","FK Bezanija","Serbia","","?"
"145","2019/2020","Abdel Hakim Abdallah","Left-Back","21","Comoros","ES Troyes AC B","France","","Grenoble","France","Ligue 2","?"
"146","2019/2020","Ibrahim Sissoko","Centre-Forward","23","France","FC Lorient","France","Ligue 2","FC Niort","France","Ligue 2","?"
"147","2019/2020","Francisco Oliver","Centre-Back","24","Argentina","Deportivo Santamarina","Argentina","Primera Nacional","CD Morón","Argentina","Primera Nacional","?"
"148","2019/2020","Júnior Mendieta","Left Winger","26","Argentina","Lanús II","Argentina","","Rafaela","Argentina","Primera Nacional","?"
"149","2019/2020","Asamoah Gyan","Centre-Forward","33","Ghana","Kayserispor","Turkey","Süper Lig","","","","-"
"150","2019/2020","Tomás Sivok","Centre-Back","35","Czech Republic","M. Petah Tikva","Israel","Liga Leumit","","","","-"
"151","2019/2020","Nikola Gligorov","Defensive Midfield","35","North Macedonia","Ethnikos","Cyprus","First Division","","","","-"
"152","2019/2020","Dmitri Khomich","Goalkeeper","34","Russia","Khimki","Russia","1.Division","","","","-"
"153","2019/2020","Zlatko Janjic","Attacking Midfield","33","Bosnia-Herzegovina","Sonnenhof-Gr.","Germany","3. Liga","","","","-"
"154","2019/2020","Miroslav Radovic","Right Winger","35","Serbia","Legia Warszawa","Poland","Ekstraklasa","","","","-"
"155","2019/2020","Rolando","Centre-Back","33","Portugal","Marseille","France","Ligue 1","","","","-"
"156","2019/2020","Caio","Attacking Midfield","33","Brazil","Maccabi Haifa","Israel","Ligat ha'Al","","","","-"
"157","2019/2020","Diego Capel","Left Winger","31","Spain","Extremadura","Spain","LaLiga2","","","","-"
"158","2019/2020","Ben Parker","Left-Back","31","England","Harrogate Town","England","National League","","","","-"
"159","2019/2020","Gary Cahill","Centre-Back","33","England","Chelsea","England","Premier League","","","","-"
"160","2019/2020","Nikolaos Loumpardeas","Centre-Back","34","Greece","Panachaiki","Greece","","","","","-"
"161","2019/2020","Theodoros Tripotseris","Centre-Back","33","Greece","AE Larisa","Greece","Super League","","","","-"
"162","2019/2020","James Morrison","Central Midfield","33","Scotland","West Brom","England","Championship","","","","-"
"163","2019/2020","Wesley Vanbelle","Left-Back","32","Belgium","Lommel SK","Belgium","Proximus League","","","","-"
"164","2019/2020","Christophe Jallet","Right-Back","35","France","OGC Nice","France","Ligue 1","","","","-"
"165","2019/2020","Mile Jedinak","Defensive Midfield","34","Australia","Aston Villa","England","Premier League","","","","-"
"166","2019/2020","Denis Petric","Goalkeeper","31","Serbia","Guingamp","France","Ligue 2","","","","-"
"167","2019/2020","Vasilios Sachinidis","Centre-Forward","33","Greece","Olymp. Volou","Greece","","","","","-"
"168","2019/2020","Gabriele Perico","Right-Back","35","Italy","FC Chiasso","Switzerland","Challenge League","","","","-"
"169","2019/2020","Luca Belingheri","Central Midfield","36","Italy","Padova","Italy","Serie C - B","","","","-"
"170","2019/2020","Andrea Coda","Centre-Back","34","Italy","Viterbese","Italy","Serie C - C","","","","-"
"171","2019/2020","Andrea Raggi","Centre-Back","35","Italy","Monaco","Monaco","Ligue 1","","","","-"
"172","2019/2020","Michael Timlin","Central Midfield","34","Ireland","Stevenage FC","England","League Two","","","","-"
"173","2019/2020","Ross McCormack","Second Striker","32","Scotland","Aston Villa","England","Premier League","","","","-"
"174","2019/2020","Hakan Ercelik","Central Midfield","19","Turkey","Alanyaspor U21","Turkey","","Alanyaspor","Turkey","Süper Lig","-"
"175","2019/2020","Razhab Magomedov","Attacking Midfield","18","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"176","2019/2020","Erik Zaerko","Attacking Midfield","18","Russia","Anzhi II","Russia","","","","","-"
"177","2019/2020","Sultan Isalov","Central Midfield","19","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"178","2019/2020","Mutaalim Magomedov","Right Midfield","19","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"179","2019/2020","Magomednur Isaev","Central Midfield","19","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"180","2019/2020","Shikhamir Isaev","Left Midfield","18","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"181","2019/2020","Ramazan Kerimov","Defensive Midfield","20","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"182","2019/2020","Timur Magomedov","Goalkeeper","17","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"183","2019/2020","Yusup Vagabov","Centre-Back","18","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"184","2019/2020","Rustam Machilov","Centre-Back","19","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"185","2019/2020","Alikadi Saidov","Centre-Back","20","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"186","2019/2020","Dmitri Rashchektaev","Centre-Back","19","Russia","Anzhi II","Russia","","","","","-"
"187","2019/2020","Artyom Sukhanov","Centre-Forward","18","Russia","Anzhi II","Russia","","","","","-"
"188","2019/2020","Arsanbeg Murtazaliev","Centre-Forward","18","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"189","2019/2020","Islam Khalimbekov","Attacking Midfield","19","Russia","Anzhi II","Russia","","Anzhi","Russia","PFL South","-"
"190","2019/2020","Juan Satoca","Central Midfield","20","Spain","UD Sanse","Spain","2ª B - Grupo I","","","","-"
"191","2019/2020","Henrique Araujo","Right Winger","20","Brazil","Lok. Kosice","Slovakia","","","","","-"
"192","2019/2020","Yusuf Mert Tunc","Centre-Forward","18","Turkey","Fenerbahce U21","Turkey","","Fenerbahce","Turkey","Süper Lig","-"
"193","2019/2020","Batuhan Arslan","Attacking Midfield","20","Turkey","Antalyaspor U21","Turkey","","Antalyaspor","Turkey","Süper Lig","-"
"194","2019/2020","Fatih Tutulmaz","Attacking Midfield","20","Turkey","Afjet Afyon U21","Turkey","","Afjet Afyonspor","Turkey","2.Lig Beyaz","-"
"195","2019/2020","Rasul Umaev","Goalkeeper","21","Russia","Akhmat II","Russia","U20 Premier Liga","","","","-"
"196","2019/2020","Adam Abdurakhmanov","Central Midfield","21","Russia","Akhmat II","Russia","U20 Premier Liga","","","","-"
"197","2019/2020","Vladimir Kutyrev","Goalkeeper","19","Russia","Ural II","Russia","U20 Premier Liga","Ural 2","Russia","PFL Ural-Povolzje","-"
"198","2019/2020","Sergey Krotov","Defensive Midfield","17","Russia","Ural II","Russia","U20 Premier Liga","Ural 2","Russia","PFL Ural-Povolzje","-"
"199","2019/2020","Dmitri Pletnev","Attacking Midfield","21","Russia","Zenit 2 S-Pb","Russia","PFL West","Tom Tomsk","Russia","1.Division","?"
"200","2019/2020","Hakim El Mokeddem","Attacking Midfield","20","France","Toulouse","France","Ligue 1","Stade Laval","France","Championnat National","?"
"201","2019/2020","Sasa Urosevic","Defensive Midfield","20","Croatia","NK Novigrad","Croatia","","Rudar Labin","Croatia","","?"
"202","2019/2020","Aleksandr Evinov","Right-Back","19","Russia","Chertanovo 2","Russia","","KS Samara II","Russia","U20 Premier Liga","?"
"203","2019/2020","Alessandro Polidori","Centre-Forward","27","Italy","Pro Vercelli","Italy","Serie C - A","Siena","Italy","Serie C - A","?"
"204","2019/2020","Jakub Kopriva","Attacking Midfield","21","Czech Republic","FC MAS Taborsko","Czech Republic","","Baník Sokolov","Czech Republic","FNL","?"
"205","2019/2020","Santiago Giordana","Centre-Forward","24","Argentina","Belgrano","Argentina","Primera Nacional","CA Alvarado","Argentina","Primera Nacional","?"
"206","2019/2020","Gabriele Dalla Bernardina","Centre-Back","20","Italy","Cittadella","Italy","Serie B","Olbia","Italy","Serie C - A","?"
"207","2019/2020","Siebe Van der Heyden","Centre-Back","21","Belgium","FC Eindhoven","Netherlands","Keuken Kampioen Divisie","Saint Gilloise","Belgium","Proximus League","?"
"208","2019/2020","Badr El Ouazni","Centre-Forward","27","Italy","Juve Stabia","Italy","Serie B","Cavese","Italy","Serie C - C","?"
"209","2019/2020","Leandro Teijo","Defensive Midfield","27","Argentina","Nueva Chicago","Argentina","Primera Nacional","CA Alvarado","Argentina","Primera Nacional","?"
"210","2019/2020","Giacomo Nigretti","Right-Back","20","Italy","Forlì","Italy","Serie D - D","Ravenna","Italy","Serie C - B","?"
"211","2019/2020","Alper Kadir Duruk","Right-Back","21","Turkey","Altinordu U21","Turkey","","1922 Konya","Turkey","2.Lig Beyaz","?"
"212","2019/2020","Oleg Reabciuk","Left-Back","21","Moldova","FC Porto B","Portugal","Liga Pro","Paços Ferreira","Portugal","Liga NOS","?"
"213","2019/2020","Frederico Duarte","Left Winger","20","Portugal","Vilafranquense","Portugal","Liga Pro","Panetolikos","Greece","Super League","?"
"214","2019/2020","Dominik Stranak","Centre-Back","19","Slovakia","FC Nitra","Slovakia","Fortuna Liga","Podbrezova","Slovakia","II. Liga","?"
"215","2019/2020","Walid Adel","Central Midfield","27","Egypt","El Makasa","Egypt","Premier League","Tanta FC","Egypt","Premier League","?"
"216","2019/2020","David Simek","Centre-Back","21","Czech Republic","Dukla B","Czech Republic","","1.FK Pribram","Czech Republic","Fortuna Liga","?"
